t,energy
3.549345174521544e10,-1.4891875443411428e27
3.5667322819595604e10,-1.4891564462250528e27
3.584119389397577e10,-1.4891173105506751e27
3.6015064968355934e10,-1.489072160031061e27
3.61889360427361e10,-1.4890231995450748e27
3.6362807117116264e10,-1.4889727226267775e27
3.653667819149643e10,-1.488923015496362e27
3.6710549265876595e10,-1.4888762614628274e27
3.688442034025676e10,-1.4888344491436087e27
3.7058291414636925e10,-1.4887992884930241e27
3.723216248901709e10,-1.4887721389338622e27
3.7406033563397255e10,-1.48875395379359e27
3.757990463777742e10,-1.4887452446662202e27
3.7753775712157585e10,-1.48874520460334e27
3.792764678653775e10,-1.4887451599800902e27
3.8101517860917915e10,-1.4887451130707452e27
3.827538893529808e10,-1.4887450673821467e27
3.8449260009678246e10,-1.4887450274227457e27
3.862313108405841e10,-1.488744998198807e27
3.8797002158438576e10,-1.4887449845083938e27
3.897087323281874e10,-1.4887449844539253e27
3.9144744307198906e10,-1.488744984367396e27
3.931861538157907e10,-1.4887449842435907e27
3.9492486455959236e10,-1.4887449840777884e27
3.96663575303394e10,-1.4887449838656935e27
3.984022860471957e10,-1.4887449836034215e27
4.001409967909973e10,-1.4887449832875378e27
4.01879707534799e10,-1.4887449829151294e27
4.036184182786006e10,-1.4887449824839042e27
4.053571290224023e10,-1.488738119367986e27
4.070958397662039e10,-1.4887228989805214e27
4.088345505100056e10,-1.488700338396391e27
4.105732612538072e10,-1.4886717256855638e27
4.123119719976089e10,-1.488638557194647e27
4.140506827414105e10,-1.4886024692450947e27
4.157893934852122e10,-1.4885651662871136e27
4.175281042290138e10,-1.488528347712717e27
4.1926681497281555e10,-1.488493635777055e27
4.210055257166172e10,-1.4884625073364084e27
4.2274423646041885e10,-1.4884362322974638e27
4.244829472042205e10,-1.4884158216968728e27
4.2622165794802216e10,-1.4884019881208553e27
4.279603686918238e10,-1.488395120693845e27
4.2969907943562546e10,-1.4883951164707288e27
4.314377901794271e10,-1.4883951083279065e27
4.3317650092322876e10,-1.48839509703885e27
4.349152116670304e10,-1.488395083224958e27
4.3665392241083206e10,-1.4883950673343342e27
4.383926331546337e10,-1.488395049617934e27
4.401313438984354e10,-1.488395030106677e27
4.41870054642237e10,-1.488395008604542e27
4.436087653860387e10,-1.488394984748215e27
4.453474761298403e10,-1.4883949582754834e27
4.47086186873642e10,-1.4883949297335483e27
4.488248976174436e10,-1.4883949012755428e27
4.505636083612453e10,-1.488394875567824e27
4.523023191050469e10,-1.4883948530037498e27
4.540410298488486e10,-1.4883948311279404e27
4.557797405926502e10,-1.4883948072728066e27
4.575184513364519e10,-1.4883902649166352e27
4.592571620802535e10,-1.4883794751184105e27
4.609958728240552e10,-1.4883631754532953e27
4.627345835678568e10,-1.488342311481318e27
4.644732943116585e10,-1.488317989007724e27
4.662120050554601e10,-1.488291421820001e27
4.679507157992618e10,-1.4882638764056434e27
4.696894265430634e10,-1.4882366026134402e27
4.714281372868651e10,-1.4882108069861628e27
4.731668480306667e10,-1.4881875891719902e27
4.749055587744684e10,-1.4881678964925553e27
4.7664426951827e10,-1.4881524859709756e27
4.783829802620717e10,-1.4881418956238343e27
4.801216910058733e10,-1.4881364264410822e27
4.81860401749675e10,-1.4881361359503073e27
4.8359911249347664e10,-1.4881361379765819e27
4.853378232372784e10,-1.488136139695442e27
4.8707653398108e10,-1.4881361411677387e27
4.888152447248817e10,-1.4881361424430117e27
4.905539554686833e10,-1.4881361435599016e27
4.92292666212485e10,-1.4881361445475863e27
4.940313769562866e10,-1.4881361454275296e27
4.957700877000883e10,-1.48813614621519e27
4.975087984438899e10,-1.488136146921528e27
4.992475091876916e10,-1.4881361475542627e27
5.009862199314932e10,-1.4881361481188815e27
5.027249306752949e10,-1.4881361486194514e27
5.044636414190965e10,-1.488136149059234e27
5.062023521628982e10,-1.4881361494411693e27
5.079410629066998e10,-1.4881361487088318e27
5.096797736505015e10,-1.488133271215562e27
5.114184843943031e10,-1.4881257213246854e27
5.131571951381048e10,-1.4881140287415052e27
5.148959058819064e10,-1.4880988813368426e27
5.166346166257081e10,-1.4880810897575932e27
5.183733273695097e10,-1.4880615484031368e27
5.201120381133114e10,-1.4880411942796423e27
5.21850748857113e10,-1.488020965299098e27
5.235894596009147e10,-1.4880017596311308e27
5.2532817034471634e10,-1.4879843977251337e27
5.27066881088518e10,-1.4879695885756538e27
5.2880559183231964e10,-1.487957901683866e27
5.305443025761213e10,-1.4879497459576553e27
5.3228301331992294e10,-1.4879453564884132e27
5.340217240637246e10,-1.4879447897542085e27
5.3576043480752625e10,-1.487944758105407e27
5.374991455513279e10,-1.4879447268839035e27
5.3923785629512955e10,-1.4879446975509924e27
5.409765670389312e10,-1.4879446718378877e27
5.4271527778273285e10,-1.4879446516069227e27
5.444539885265345e10,-1.4879446386662778e27
5.4619269927033615e10,-1.4879446345656258e27
5.479314100141378e10,-1.4879446344573695e27
5.496701207579395e10,-1.4879446343189108e27
5.514088315017412e10,-1.4879446341486132e27
5.531475422455428e10,-1.487944633945178e27
5.548862529893445e10,-1.487944633707507e27
5.566249637331461e10,-1.487944633434586e27
5.583636744769478e10,-1.487944633125379e27
5.601023852207494e10,-1.4879446327787817e27
5.618410959645511e10,-1.4879428841147162e27
5.635798067083527e10,-1.48793764374412e27
5.653185174521544e10,-1.4879292911390893e27
5.6705722819595604e10,-1.487918326349296e27
5.687959389397577e10,-1.487905343737278e27
5.7053464968355934e10,-1.4878910028160678e27
5.72273360427361e10,-1.4878759973988978e27
5.7401207117116264e10,-1.4878610243056198e27
5.757507819149643e10,-1.487846752881311e27
5.7748949265876595e10,-1.4878337965608455e27
5.792282034025676e10,-1.487822687648604e27
5.8096691414636925e10,-1.4878138563656655e27
5.827056248901709e10,-1.4878076150426562e27
5.8444433563397255e10,-1.487804148105557e27
5.861830463777742e10,-1.487803508222633e27
5.8792175712157585e10,-1.4878035042412984e27
5.896604678653775e10,-1.487803496878573e27
5.9139917860917915e10,-1.487803486554254e27
5.931378893529808e10,-1.4878034736103618e27
5.9487660009678246e10,-1.4878034582973939e27
